province_code,name,label
11,1105,KABUPATEN ACEH BARAT
11,1112,KABUPATEN ACEH BARAT DAYA
11,1106,KABUPATEN ACEH BESAR
11,1114,KABUPATEN ACEH JAYA
11,1101,KABUPATEN ACEH SELATAN
11,1110,KABUPATEN ACEH SINGKIL
11,1116,KABUPATEN ACEH TAMIANG
11,1104,KABUPATEN ACEH TENGAH
11,1102,KABUPATEN ACEH TENGGARA
11,1103,KABUPATEN ACEH TIMUR
11,1108,KABUPATEN ACEH UTARA
11,1117,KABUPATEN BENER MERIAH
11,1111,KABUPATEN BIREUEN
11,1113,KABUPATEN GAYO LUES
11,1115,KABUPATEN NAGAN RAYA
11,1107,KABUPATEN PIDIE
11,1118,KABUPATEN PIDIE JAYA
11,1109,KABUPATEN SIMEULUE
11,1171,KOTA BANDA ACEH
11,1174,KOTA LANGSA
11,1173,KOTA LHOKSEUMAWE
11,1172,KOTA SABANG
11,1175,KOTA SUBULUSSALAM
51,5103,KABUPATEN BADUNG
51,5106,KABUPATEN BANGLI
51,5108,KABUPATEN BULELENG
51,5104,KABUPATEN GIANYAR
51,5101,KABUPATEN JEMBRANA
51,5107,KABUPATEN KARANGASEM
51,5105,KABUPATEN KLUNGKUNG
51,5102,KABUPATEN TABANAN
51,5171,KOTA DENPASAR
36,3602,KABUPATEN LEBAK
36,3601,KABUPATEN PANDEGLANG
36,3604,KABUPATEN SERANG
36,3603,KABUPATEN TANGERANG
36,3672,KOTA CILEGON
36,3673,KOTA SERANG
36,3671,KOTA TANGERANG
36,3674,KOTA TANGERANG SELATAN
17,1701,KABUPATEN BENGKULU SELATAN
17,1709,KABUPATEN BENGKULU TENGAH
17,1703,KABUPATEN BENGKULU UTARA
17,1704,KABUPATEN KAUR
17,1708,KABUPATEN KEPAHIANG
17,1707,KABUPATEN LEBONG
17,1706,KABUPATEN MUKOMUKO
17,1702,KABUPATEN REJANG LEBONG
17,1705,KABUPATEN SELUMA
17,1771,KOTA BENGKULU
34,3402,KABUPATEN BANTUL
34,3403,KABUPATEN GUNUNGKIDUL
34,3401,KABUPATEN KULON PROGO
34,3404,KABUPATEN SLEMAN
34,3471,KOTA YOGYAKARTA
31,3101,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU
31,3173,KOTA ADMINISTRASI JAKARTA BARAT
31,3171,KOTA ADMINISTRASI JAKARTA PUSAT
31,3174,KOTA ADMINISTRASI JAKARTA SELATAN
31,3175,KOTA ADMINISTRASI JAKARTA TIMUR
31,3172,KOTA ADMINISTRASI JAKARTA UTARA 
75,7502,KABUPATEN BOALEMO
75,7503,KABUPATEN BONE BOLANGO
75,7501,KABUPATEN GORONTALO
75,7505,KABUPATEN GORONTALO UTARA
75,7504,KABUPATEN POHUWATO
75,7571,KOTA GORONTALO
15,1502,KABUPATEN  MERANGIN
15,1505,KABUPATEN  MUARO JAMBI
15,1504,KABUPATEN BATANGHARI
15,1508,KABUPATEN BUNGO
15,1501,KABUPATEN KERINCI
15,1503,KABUPATEN SAROLANGUN
15,1506,KABUPATEN TANJUNG JABUNG BARAT
15,1507,KABUPATEN TANJUNG JABUNG TIMUR
15,1509,KABUPATEN TEBO
15,1571,KOTA JAMBI
15,1572,KOTA SUNGAI PENUH
32,3204,KABUPATEN BANDUNG
32,3217,KABUPATEN BANDUNG BARAT
32,3216,KABUPATEN BEKASI
32,3201,KABUPATEN BOGOR
32,3207,KABUPATEN CIAMIS
32,3203,KABUPATEN CIANJUR
32,3209,KABUPATEN CIREBON
32,3205,KABUPATEN GARUT
32,3212,KABUPATEN INDRAMAYU
32,3215,KABUPATEN KARAWANG
32,3208,KABUPATEN KUNINGAN
32,3210,KABUPATEN MAJALENGKA
32,3218,KABUPATEN PANGANDARAN
32,3214,KABUPATEN PURWAKARTA
32,3213,KABUPATEN SUBANG
32,3202,KABUPATEN SUKABUMI
32,3211,KABUPATEN SUMEDANG
32,3206,KABUPATEN TASIKMALAYA
32,3273,KOTA BANDUNG
32,3279,KOTA BANJAR
32,3275,KOTA BEKASI
32,3271,KOTA BOGOR
32,3277,KOTA CIMAHI
32,3274,KOTA CIREBON
32,3276,KOTA DEPOK
32,3272,KOTA SUKABUMI
32,3278,KOTA TASIKMALAYA
33,3304,KABUPATEN BANJARNEGARA
33,3302,KABUPATEN BANYUMAS
33,3325,KABUPATEN BATANG
33,3316,KABUPATEN BLORA
33,3309,KABUPATEN BOYOLALI
33,3329,KABUPATEN BREBES
33,3301,KABUPATEN CILACAP
33,3321,KABUPATEN DEMAK
33,3315,KABUPATEN GROBOGAN
33,3320,KABUPATEN JEPARA
33,3313,KABUPATEN KARANGANYAR
33,3305,KABUPATEN KEBUMEN
33,3324,KABUPATEN KENDAL
33,3310,KABUPATEN KLATEN
33,3319,KABUPATEN KUDUS
33,3308,KABUPATEN MAGELANG
33,3318,KABUPATEN PATI
33,3326,KABUPATEN PEKALONGAN
33,3327,KABUPATEN PEMALANG
33,3303,KABUPATEN PURBALINGGA
33,3306,KABUPATEN PURWOREJO
33,3317,KABUPATEN REMBANG
33,3322,KABUPATEN SEMARANG
33,3314,KABUPATEN SRAGEN
