district_code,name,label
760501,7605011001,BANGGAE
760501,7605011003,BARU
760501,7605011013,GALUNG
760501,7605012011,PALIPI SOREANG
760501,7605012012,PAMBOBORANG
760501,7605011007,PANGALI ALI
760501,7605011010,RANGAS
760501,7605011009,TOTOLI
760508,7605081002,BARUGA
760508,7605081003,BARUGA DHUA
760508,7605081001,BAURUNG
760508,7605082009,BUTTU BARUGA
760508,7605081004,LABUANG
760508,7605081007,LABUANG UTARA
760508,7605081006,LEMBANG
760508,7605081005,TANDE
760508,7605081008,TANDE TIMUR
760504,7605042002,BAMBANGAN
760504,7605042016,KAYUANGIN
760504,7605041015,LAMUNGANG BATU
760504,7605042004,LOMBANG
760504,7605042011,LOMBANG TIMUR
760504,7605042005,LOMBONG
760504,7605042013,LOMBONG TIMUR
760504,7605042010,MALIAYA
760504,7605041001,MALUNDA
760504,7605042006,MEKKATTA
760504,7605042014,MEKKATTA SELATAN
760504,7605042012,SALUTAHONGAN
760502,7605022003,ADOLANG
760502,7605022012,ADOLANG DHUA
760502,7605022004,BABABULO
760502,7605022009,BABABULO UTARA
760502,7605022015,BALOMBONG
760502,7605022011,BANUA ADOLANG
760502,7605022006,BETTENG
760502,7605022005,BONDE
760502,7605022008,BONDE UTARA
760502,7605022010,BUTTU PAMBOANG
760502,7605021001,LALAMPANUA
760502,7605022014,PESULOANG
760502,7605022007,SIMBANG
760502,7605021002,SIRINDU
760502,7605022013,TINAMBUNG
760503,7605032022,BANUA SENDANA
760503,7605032016,BINANGA
760503,7605032026,BUKIT SAMANG
760503,7605032015,LALATEDZONG
760503,7605032019,LEPPANGANG
760503,7605032024,LIMBORO RAMBU-RAMBU
760503,7605032025,LIMBUA
760503,7605031001,MOSSO
760503,7605031002,MOSSO DHUA
760503,7605032018,PAMINGGALAN
760503,7605032020,PUNDAU
760503,7605032017,PUTTADA
760503,7605032021,SENDANA
760503,7605032007,TALLUBANUA
760503,7605032023,TALLUBANUA UTARA
760503,7605032004,TOTOLISI SENDANA
760506,7605062007,AWO
760506,7605062006,MANYAMBA
760506,7605062001,SEPPONG
760506,7605062004,TALLAMBALAO
760506,7605062002,TAMMERODO
760506,7605062005,TAMMERODO UTARA
760506,7605062003,ULIDANG
760507,7605072005,BONDE BONDE
760507,7605072001,ONANG
760507,7605072003,ONANG UTARA
760507,7605072002,TUBO
760507,7605072007,TUBO POANG
760507,7605072004,TUBO SELATAN
760507,7605072006,TUBO TENGAH
760505,7605052001,KABIRAAN
760505,7605052008,PANGGALO
760505,7605052006,POPENGA
760505,7605052005,SALUTAMBUNG
760505,7605052002,SAMBABO
760505,7605052007,SULAI
760505,7605052003,TANDEALLO
760505,7605052004,ULUMANDA
760302,7603021001,ARALLE
760302,7603022018,ARALLE SELATAN
760302,7603022007,ARALLE UTARA
760302,7603022010,BARURU
760302,7603022019,HAHANGAN
760302,7603022017,KALABE
760302,7603022016,PAMOSEANG PANGGA
760302,7603022004,PANETEAN
760302,7603022003,RALLE ANAK
760302,7603022015,RALLEANAK UTARA
760302,7603022009,UHAIDAHO
760302,7603022005,UHAILANU
760312,7603122001,BALLA
760312,7603122002,BALLA BARAT
760312,7603122003,BALLA SATANETEAN
760312,7603122008,BALLA TIMUR
760312,7603122004,BALLA TUMUKA
760312,7603122007,BAMBAPUANG
760312,7603122006,PIDARA
760312,7603122005,SEPAKUAN
760311,7603112020,BALATANA
760311,7603112010,BAMBANG
760311,7603112014,BAMBANG TIMUR
760311,7603112008,LIMBADEBATA
760311,7603112002,MASOSO
760311,7603112015,MINANGA
760311,7603112001,MOKALLANG
760311,7603112011,RANTELEMO
760311,7603112017,RANTETARIMA
760311,7603112003,SALUASSING
760311,7603112004,SALUBULO
760311,7603112012,SALUDENGEN
760311,7603112005,SALUKADI
760311,7603112006,SALUKEPOPOK
760311,7603112018,SALURURU
760311,7603112019,SALUTABANG
760311,7603112016,SIKAMASE
760311,7603112009,TANETE TOMBA
760311,7603112013,ULUMAMBI
760311,7603112007,ULUMAMBI BARAT
760316,7603162011,ARALLE TIMUR
760316,7603162001,BUNTUMALANGKA
760316,7603162006,KABAE
760316,7603162003,KEBANGA
760316,7603162008,PENATANGAN
760316,7603162002,RANTEBERAN
760316,7603162004,SALURINDU
760316,7603162010,SALUTAMBUN
760316,7603162007,SALUTAMBUN BARAT
760316,7603162009,SALUTAMBUN TIMUR
760316,7603162005,TAORA
760303,7603032011,BOMBONG LAMBE
760303,7603032012,BUBUN BATU
760303,7603032007,BUNTU BUDA
760303,7603032004,LAMBANAN
760303,7603032005,LEMBANA SALULO
760303,7603031001,MAMASA
760303,7603032010,MAMBULILING
760303,7603032003,OSANGO
760303,7603032009,PEBASSIAN
760303,7603032002,RAMBUSARATU
760303,7603032006,TAUPE
760303,7603032008,TONDOK BAKARU
760301,7603012026,BUJUNG MANURUNG
760301,7603012029,INDOBANUA
760301,7603011001,MAMBI
760301,7603012024,PAMOSEAN
760301,7603012004,RANTEBULAHAN
760301,7603012027,SALU ALO
760301,7603012016,SALUBANUA
760301,7603012030,SALUDURIAN
760301,7603012025,SELUMAKA
760301,7603012019,SENDANA
760301,7603012008,SONDONGLAYU
760301,7603011002,TALIPUKKI
760301,7603012017,TAPALINA
760317,7603172002,BOTTENG
760317,7603172009,KONDO
760317,7603172010,LEKO SUKAMAJU
760317,7603172001,MEHALAAN
760317,7603172005,MEHALAAN BARAT
760317,7603172004,MESAKADA
760317,7603172008,PASSEMBUK
760317,7603172006,SALUAHOK
760317,7603172007,SALUBALO
760317,7603172003,SALUKONTA
760317,7603172011,ULUMEA
760307,7603072003,MAKUANG
760307,7603072005,MALIMBONG
760307,7603072006,MATANDE
760307,7603071001,MESSAWA
760307,7603072008,PASMA MAMBU
760307,7603072002,RIPPUNG
760307,7603072004,SEPANG
760307,7603072007,SIPAI
760307,7603072009,TANETE BATU
760313,7603132003,BATUPAPAN
760313,7603132004,MASEWWE
760313,7603132002,MINANGA
760313,7603132006,MINANGA TIMUR
760313,7603131001,NOSU
760313,7603132007,PARINDING
760313,7603132005,SIWI
760304,7603042009,DATUBARINGAN
760304,7603042012,KARAKA
760304,7603042005,MAMULLU
760304,7603042003,MANIPI
760304,7603041001,PANA
760304,7603042010,PANURA
760304,7603042016,SALOAN
760304,7603042015,SALUTAMBUN
760304,7603042006,SAPAN
760304,7603042011,TALLANG BULAWAN
760304,7603042013,ULUSALU
760304,7603042017,ULUSALU INDAH
760304,7603042014,WERI
760315,7603152005,BAMBANG BUDA
760315,7603152004,BUANGIN
760315,7603152007,KIRAK
760315,7603152006,LEKO
760315,7603152001,SALUMOKANAN
760315,7603152003,SALUMOKANAN BARAT
760315,7603152008,SALUMOKANAN UTARA
760315,7603152009,SAMPALE
760308,7603082008,LISUAN ADA
760308,7603082012,MALANGKENA PADANG
760308,7603082013,MALIMBONG
760308,7603082014,MARAMPAN OROBUA
760308,7603082002,OROBUA
760308,7603082010,OROBUA SELATAN
760308,7603082004,OROBUA TIMUR
760308,7603082003,PALADAN
760308,7603082006,RANTE PUANG
760308,7603082007,SATENETEAN
760306,7603062009,BANEA
760306,7603062003,BATANG URU
760306,7603062007,BATANGNGURU TIMUR
760306,7603062010,RANTE KAMASE
760306,7603062008,SALUBALO
760306,7603062004,SASAKAN
760306,7603062006,SIBANAWA
760306,7603061001,SUMARORONG
760306,7603061002,TABONE
760306,7603062005,TADISI
760310,7603102007,BAKADISURA
760310,7603102006,KALAMA
760310,7603102005,MASUPU
760310,7603102008,SALUKONA
760310,7603101001,TABANG
760310,7603102004,TABANG BARAT
760310,7603102003,TADOKALUA
760305,7603052009,BURANA
760305,7603052008,GANDANG DEWATA
760305,7603051001,LAKAHANG
760305,7603052015,LAKAHANG UTAMA
760305,7603052003,MALATIRO
760305,7603052011,PANGANDARAN
760305,7603052002,PERIANGAN
760305,7603052013,PEU'
760305,7603052010,SALUBAKKA
760305,7603052005,SALULEANG
760305,7603052004,TABULAHAN
760305,7603052012,TALOPAK
760305,7603052007,TAMPAK KURRA
760305,7603052014,TIMORO
760309,7603092010,BALLABATU
760309,7603092015,KANAN
760309,7603092001,MALABO
760309,7603092008,MANNABABA
760309,7603092009,MESAKADA
760309,7603091011,MINAKE
760309,7603092012,PAMBE
760309,7603092006,PARONDOBULAWAN
760309,7603092013,SALURANO
760309,7603092005,SINDAGAMANIK
760309,7603092014,TALIMBUNG
760309,7603092007,TAMALANTIK
760314,7603142003,KARIANGO
760314,7603142004,RANTETANGNGA
760314,7603141001,TAWALIAN
760314,7603142002,TAWALIAN TIMUR
760215,7602152009,BANUADA
760215,7602152001,BONEHAU
760215,7602152003,BUTTUADA
760215,7602152010,HINUA
760215,7602152011,KINATANG
760215,7602152005,LUMIKA
760215,7602152006,MAPPU
760215,7602152002,SALUTIWO
760215,7602152004,TAMALEA
760203,7602031002,BEBANGA
760203,7602032006,BELANG BELANG
760203,7602032005,BERU-BERU
760203,7602032010,GULILING
760203,7602032007,KABULOANG
760203,7602031003,KALUKKU
760203,7602032012,KALUKKU BARAT
760203,7602032008,KEANG
760203,7602032013,PAMMULUKANG
760203,7602032009,POKKANG
760203,7602031001,SINYONYOI
760203,7602031014,SINYONYOI SELATAN
760203,7602032004,SONDOANG
760203,7602032011,UHAIMATE
760204,7602042016,BATU MAKKADA
760204,7602042001,KALUMPANG
760204,7602042004,KARAMA
760204,7602042003,KARATAUN
760204,7602042014,KONDO BULO
760204,7602042017,LASA'
760204,7602042012,LIMBONG
760204,7602042015,MAKKALIKI
760204,7602042011,POLIO
760204,7602042010,SALUMAKKI
760204,7602042013,SANDAPANG
760204,7602042006,SIRAUN
760204,7602042007,TUMOGA
760216,7602162001,BALA BALAKANG
760216,7602162002,BALA-BALAKANG TIMUR
760201,7602012005,BAMBU
760201,7602012014,BATU PANNU
760201,7602011002,BINANGA
760201,7602012006,KARAMPUANG
760201,7602011012,KAREMA
760201,7602011003,MAMUNYU
760201,7602011013,RIMUKU
760201,7602012010,TADUI
760207,7602072009,BATU AMPA
760207,7602072007,BODA-BODA
760207,7602072003,BONDA
760207,7602072002,PAPALANG
760207,7602072005,SALUKAYU
760207,7602072008,SISANGO
760207,7602072006,SUKADAMAI
760207,7602072001,TOABO
760207,7602072004,TOPORE
760208,7602082001,BUNDE
760208,7602082002,KALONDING
760208,7602082007,LOSSO
760208,7602082006,SALUBARANA
760208,7602082004,SAMPAGA
760208,7602082005,TANAMBUAH
760208,7602082003,TARAILU
760212,7602122003,BOTTENG
760212,7602122007,BOTTENG UTARA
760212,7602122009,PATI'DI
760212,7602121002,RANGAS
760212,7602122004,SALETTO
760212,7602121001,SIMBORO
760212,7602122005,SUMARE
760212,7602122008,TAPANDULLU
760202,7602022009,BELA
760202,7602021014,DAYANGINNA
760202,7602021001,GALUNG
760202,7602021002,KASAMBANG
760202,7602022013,KOPEANG
760202,7602022003,OROBATU
760202,7602022012,RANTEDODA
760202,7602022010,TAAN
760202,7602022006,TAKANDEANG
760202,7602022011,TAMPALANG
760213,7602132007,AHU
760213,7602132001,DUNGKAIT
760213,7602132003,LABUANG RANO
760213,7602132002,LEBANI
760213,7602132006,PANGASAAN
760213,7602132004,PASABU
760213,7602132005,TANETE PAO
760211,7602112003,BUANA SAKTI
760211,7602112002,CAMPALOGA
760211,7602112008,KAKULLASANG
760211,7602112010,KALEPU
760211,7602112009,LELING
760211,7602112012,LELING BARAT
760211,7602112013,LELING UTARA
760211,7602112007,MALINO
760211,7602112006,RANTEMARIO
760211,7602112014,SALUDENGEN
760211,7602112011,SANDANA
760211,7602112005,TAMEJARRA
760211,7602112004,TAMEMONGGA
760211,7602112001,TOMMO
760603,7606032001,BABANA
760603,7606032010,BARAKKANG
760603,7606032009,BOJO
760603,7606032005,KIRE
760603,7606032011,LEMBAH HADA
760603,7606032002,LUMU
760603,7606032008,PASAPA
760603,7606032003,PONTANAKAYANG
760603,7606032004,SALOGATTA
760603,7606032007,SALUMANURUNG
760603,7606032006,TINALI
760605,7606052007,BENGGAULU
760605,7606052004,KADAILA
760605,7606052009,KAMBUNONG
760605,7606052001,KAROSSA
760605,7606052005,KAYU CALLA
760605,7606052003,LARA
760605,7606052006,LEMBAH HOPO
760605,7606052010,SALUBIRO
760605,7606052011,SANJANGO
760605,7606052008,SUKA MAJU
760605,7606052002,TASOKKO
760602,7606022008,KOMBILING
760602,7606022005,KUO
760602,7606022007,LAMBA-LAMBA
760602,7606022009,LEMO-LEMO
760602,7606022002,PANGALE
760602,7606022006,POLO CAMBA
760602,7606022004,POLO LERENG
760602,7606022001,POLO PANGALE
760602,7606022003,SARTANAMAJU
760601,7606012006,BAMBADARU
760601,7606012005,BATU PARIGI
760601,7606012001,MAHAHE
760601,7606012004,PALONGAAN
760601,7606012008,SALOADAK
760601,7606012002,SALOBAJA
760601,7606012007,SEJATI
760601,7606012003,TOBADAK
760604,7606042012,BAMBAMANURUNG
760604,7606042001,BUDONG-BUDONG
760604,7606042004,KABUBU
760604,7606042014,PANGALLOANG
760604,7606042008,PARAILI
760604,7606042013,SALULEKBO
760604,7606042009,SALUPANGKANG
760604,7606042010,SALUPANGKANG IV
760604,7606042015,SINABATTA
760604,7606042007,TABOLANG
760604,7606042006,TANGKOU
760604,7606042011,TAPPILINA
760604,7606042002,TOPOYO
760604,7606042003,TUMBU
760604,7606042005,WAEPUTEH
760110,7601102001,BAMBAIRA
760110,7601102004,KALUKU NANGKA
760110,7601102002,KASOLOANG
760110,7601102003,TAMPAURE
760101,7601011006,BAMBALAMOTU
760101,7601012008,KALOLA
760101,7601012007,PANGIANG
760101,7601012003,POLEWALI
760101,7601012004,RANDOMAYANG
760101,7601012009,WULAI
760103,7601032002,BALANTI
760103,7601031001,BARAS
760103,7601032012,BULU PARIGI
760103,7601032016,KASANO
760103,7601032003,MOTU
760103,7601032013,TOWONI
760107,7601072003,BUKIT HARAPAN
760107,7601072002,KARAVE
760107,7601072004,KASTABUANA
760107,7601072006,LELEJAE
760107,7601072001,LILIMORI
760107,7601072007,OMPI
760107,7601072005,SUMBER SARI
760105,7601052002,BENGGAULU
760105,7601052004,BULU BONGGU
760105,7601052001,DAPURANG
760105,7601052005,SARASA
760105,7601052003,TIRTABUANA
760106,7601062002,SAPTANAJAYA
760106,7601062004,SIPAKAINGA
760106,7601062001,TAMMARUNANG
760106,7601062003,TARANGGI
760112,7601122003,BAJAWALI
760112,7601122007,BAMBAKORO
760112,7601122006,BATU MATORU
760112,7601122002,KENANGAN
760112,7601122005,KULU
760112,7601122001,PARABU
760112,7601122004,SINGGANI
760102,7601022015,AKO
760102,7601022016,GUNUNG SARI
760102,7601022014,KARYA BERSAMA
760102,7601021002,MARTAJAYA
760102,7601022010,PAKAVA
760102,7601021001,PASANGKAYU
760109,7601092003,BATU OGE
760109,7601092001,MALEI
760109,7601092004,MARTASARI
760109,7601092002,PEDANDA
760111,7601112003,LETAWA
760111,7601112002,MAPONU
760111,7601112001,SARJO
760111,7601112004,SARUDE
760104,7601042003,BULU MARIO
760104,7601042012,DODA
760104,7601042005,KUMASARI
760104,7601042011,PATIKA
760104,7601042001,SARUDU
760108,7601082005,JENGENG RAYA
760108,7601082003,LARIANG
760108,7601082002,MAKMUR JAYA
760108,7601082004,PAJALELE
760108,7601082001,TIKKE
760415,7604152008,ALLU
760415,7604152003,KALUMAMMANG
760415,7604152002,MOMBI
760415,7604152004,PAO-PAO
760415,7604151009,PETOOSANG
760415,7604152005,PUPPUURING
760415,7604152006,SARAGIAN
760415,7604152007,SAYOANG
760413,7604131001,ANREAPI
760413,7604132002,DUAMPANUA
760413,7604132003,KELAPA DUA
760413,7604132005,KUNYI
760413,7604132004,PAPPANDANGAN
760412,7604122008,BALA
760412,7604121002,BALANIPA
760412,7604122005,GALUNG TULUK
760412,7604122009,LAMBANAN
760412,7604122010,LEGO
760412,7604122004,MOSSO
760412,7604122011,PALLIS
760412,7604122007,PAMBUSUANG
760412,7604122006,SABANG SUBIK
760412,7604122001,TAMMAJARRA
760412,7604122003,TAMMANGALLE
760406,7604061005,AMASSANGAN
760406,7604062009,AMOLA
